"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ZWINT",2.3324509968457,8.75125136835472,4.51222056429807,1.91646247431228e-05,0.004576296449224,2.68122125836133,"Upregulated"
"CDK1",2.94642412395286,7.99317827340675,4.32100242942134,3.96579659848251e-05,0.00715277824794388,2.01887938946967,"Upregulated"
"JPT1",1.89865319256791,8.97869218734729,4.2769836155461,4.6765787103566e-05,0.0080399418644189,1.86898540413698,"Upregulated"
"DPP3",1.4623365079377,8.11397509913379,4.27594287240893,4.69478733382961e-05,0.0080399418644189,1.86545339856558,"Upregulated"
"PGP",1.46689217304135,7.3874868667033,4.26474704803438,4.89503848528868e-05,0.00829904824795843,1.82749288097327,"Upregulated"
"PSMD14",1.22966441489327,10.1663140135905,4.22982716417897,5.57388541626029e-05,0.00901117994461892,1.70950858914387,"Upregulated"
"TRIM59",1.77609226952782,5.62029299788295,4.18093607328243,6.67837132093129e-05,0.00980288348822539,1.54538533115113,"Upregulated"
"MTCH2",1.08955942893804,8.46525699231206,4.17118792693418,6.92246426443349e-05,0.00986247555791642,1.51281166845233,"Upregulated"
"TPX2",3.36350996560523,7.28823297404081,3.94879606840435,0.000154883423789133,0.0183628920763703,0.783606451240883,"Upregulated"
"UHRF1",2.67863333487144,8.1529353601995,3.89988343235685,0.000184233249235774,0.0206853675996245,0.626900164885019,"Upregulated"
"MELK",3.35436201308507,7.93487903866391,3.87292451877932,0.000202609241034718,0.0225989281085698,0.541111213920617,"Upregulated"
"TUBG1",1.26720427050227,7.82835801443842,3.84290833051597,0.000225125931191519,0.0246244195962646,0.446084634989474,"Upregulated"
"ECT2",1.42046171861554,6.01209328101733,3.8196773907611,0.000244171566769971,0.0255550809958079,0.372896977565576,"Upregulated"
"PARP1",1.04950944134649,8.93332669919474,3.81599927992499,0.000247324483144646,0.0255679224831361,0.361338093592617,"Upregulated"
"CCNF",1.19260944367514,5.56224500696814,3.79259829906733,0.000268311644944222,0.0270771168356211,0.287982912368744,"Upregulated"
"KIF4A",2.91828244083347,6.42710969380572,3.77819933807938,0.000282057349779299,0.0281294135774013,0.243005957704116,"Upregulated"
